Date,Description,Amount,Type
2024-01-02,Swiggy Food Order,-450,Debit
2024-01-03,Salary Credit,50000,Credit
2024-01-04,Zomato Food Delivery,-320,Debit
2024-01-05,Uber Cab Ride,-280,Debit
2024-01-06,Amazon Shopping,-1200,Debit
2024-01-07,Netflix Subscription,-649,Debit
2024-01-08,Electricity Bill,-1800,Debit
2024-01-09,Swiggy Food Order,-500,Debit
2024-01-10,ATM Withdrawal,-2000,Debit
2024-01-11,Flipkart Shopping,-3500,Debit
2024-01-12,Ola Cab,-150,Debit
2024-01-13,Swiggy Instamart,-890,Debit
2024-01-14,Mobile Recharge,-299,Debit
2024-01-15,UPI Transfer Received,5000,Credit
2024-01-16,Gym Membership,-999,Debit
2024-01-17,Zomato Food Delivery,-420,Debit
2024-01-18,Amazon Shopping,-2300,Debit
2024-01-19,Petrol Pump,-1500,Debit
2024-01-20,Swiggy Food Order,-380,Debit
2024-01-21,Movie Tickets BookMyShow,-600,Debit
2024-01-22,Uber Cab Ride,-350,Debit
2024-01-23,Grocery Store,-1100,Debit
2024-01-24,Internet Bill,-799,Debit
2024-01-25,Freelance Payment,8000,Credit
2024-01-26,Swiggy Food Order,-290,Debit
2024-01-27,Amazon Shopping,-5600,Debit
2024-01-28,Ola Cab,-200,Debit
2024-01-29,Restaurant Dinner,-1800,Debit
2024-01-30,Medical Pharmacy,-650,Debit
2024-01-31,ATM Withdrawal,-3000,Debit
2024-02-01,Swiggy Food Order,-410,Debit
2024-02-02,Salary Credit,50000,Credit
2024-02-03,Zomato Food Delivery,-360,Debit
2024-02-04,Uber Cab Ride,-310,Debit
2024-02-05,Amazon Shopping,-4200,Debit
2024-02-06,Hotstar Subscription,-299,Debit
2024-02-07,Water Bill,-500,Debit
2024-02-08,Swiggy Food Order,-480,Debit
2024-02-09,Flipkart Shopping,-2800,Debit
2024-02-10,Petrol Pump,-1200,Debit
2024-02-11,Ola Cab,-180,Debit
2024-02-12,Grocery Store,-950,Debit
2024-02-13,Mobile Recharge,-199,Debit
2024-02-14,Valentine Dinner,-3500,Debit
2024-02-15,UPI Transfer Received,2000,Credit
2024-02-16,Zomato Food Delivery,-290,Debit
2024-02-17,Amazon Shopping,-1800,Debit
2024-02-18,Gym Membership,-999,Debit
2024-02-19,Swiggy Food Order,-340,Debit
2024-02-20,Movie Tickets,-500,Debit
2024-02-21,Uber Cab Ride,-420,Debit
2024-02-22,Electricity Bill,-2100,Debit
2024-02-23,Medical Pharmacy,-800,Debit
2024-02-24,Freelance Payment,6000,Credit
2024-02-25,Swiggy Instamart,-760,Debit
2024-02-26,Amazon Shopping,-9800,Debit
2024-02-27,Restaurant,-1200,Debit
2024-02-28,ATM Withdrawal,-2500,Debit
2024-03-01,Swiggy Food Order,-390,Debit
2024-03-02,Salary Credit,50000,Credit
2024-03-03,Zomato Food Delivery,-440,Debit
2024-03-04,Uber Cab Ride,-260,Debit
2024-03-05,Amazon Shopping,-3100,Debit
2024-03-06,Netflix Subscription,-649,Debit
2024-03-07,Electricity Bill,-1650,Debit
2024-03-08,Swiggy Food Order,-520,Debit
2024-03-09,Flipkart Shopping,-1900,Debit
2024-03-10,Petrol Pump,-1400,Debit
2024-03-11,Grocery Store,-1050,Debit
2024-03-12,Mobile Recharge,-299,Debit
2024-03-13,Gym Membership,-999,Debit
2024-03-14,Ola Cab,-220,Debit
2024-03-15,UPI Transfer Received,3000,Credit
2024-03-16,Zomato Food Delivery,-380,Debit
2024-03-17,Amazon Shopping,-2600,Debit
2024-03-18,Swiggy Food Order,-310,Debit
2024-03-19,Movie Tickets,-800,Debit
2024-03-20,Uber Cab Ride,-390,Debit
2024-03-21,Internet Bill,-799,Debit
2024-03-22,Medical Pharmacy,-450,Debit
2024-03-23,Freelance Payment,10000,Credit
2024-03-24,Swiggy Instamart,-680,Debit
2024-03-25,Amazon Shopping,-4500,Debit
2024-03-26,Restaurant,-2200,Debit
2024-03-27,ATM Withdrawal,-2000,Debit
2024-03-28,Grocery Store,-1300,Debit
2024-03-29,Swiggy Food Order,-460,Debit
2024-03-30,Petrol Pump,-1100,Debit
2024-03-31,Medical Checkup,-1500,Debit
